signal_date,entry,exit,n_sel,n_fill,lo_ret,idx_ret,capital_ret,net_yuan,equity
2017-04-14,2017-04-17,2017-05-16,566,543,-0.08808770546379274,-0.02440055930535656,-0.05719928815232963,-58839.393186632544,969834.1285875377
2017-05-15,2017-05-16,2017-06-15,566,551,-0.014023157381575557,0.04123352590587248,-0.048294479366429006,-46837.63431192958,922996.4942756081
2017-06-14,2017-06-15,2017-07-13,575,562,0.000794683915177119,0.03557317850315078,-0.03114226082208968,-28744.197562605375,894252.2967130027
2017-07-12,2017-07-13,2017-08-10,584,572,-0.004443802832117649,0.01876461498488924,-0.021668354926320025,-19376.976158854202,874875.3205541485
2017-08-09,2017-08-10,2017-09-07,593,590,0.03353384074935417,0.034021841845281564,-0.0025733198742812803,-2251.334049900295,872623.9865042482
2017-09-06,2017-09-07,2017-10-12,605,597,0.016169699978153096,0.013066991372618242,0.0004982648691939442,434.79787649109494,873058.7843807393
2017-10-11,2017-10-12,2017-11-09,614,601,-0.01435114172699481,0.03614794388547482,-0.04454116832108678,-38887.05826930597,834171.7261114334
2017-11-08,2017-11-09,2017-12-07,625,595,-0.06046000874597113,-0.009767330271303831,-0.04569262797027193,-38115.498344529304,796056.227766904
2017-12-06,2017-12-07,2018-01-05,624,607,0.02143598980648287,0.03241099216201504,-0.010831636199785583,-8622.59145374468,787433.6363131594
2018-01-04,2018-01-05,2018-02-02,630,584,-0.05478622021201329,0.019499968548437607,-0.06408041827401657,-50459.076777977054,736974.5595351823
2018-02-01,2018-02-02,2018-03-09,632,585,0.020625248924275752,-0.02986990797211153,0.03888848215440502,28659.822006734554,765634.3815419169
2018-03-08,2018-03-09,2018-04-10,629,618,-0.017886986416885686,-0.05561303989413102,0.028964438909990807,22176.170271559386,787810.5518134763
2018-04-09,2018-04-10,2018-05-10,635,624,-0.0016058092678885583,0.0057295012329308115,-0.008427059415123466,-6638.926327993395,781171.6254854829
2018-05-09,2018-05-10,2018-06-07,641,625,-0.0462897071232895,-0.009245809768107849,-0.03394219461333474,-26514.67933864321,754656.9461468396
2018-06-06,2018-06-07,2018-07-06,645,625,-0.15921492134496595,-0.1299422398061837,-0.03055132091577223,-23055.766543048667,731601.179603791
2018-07-05,2018-07-06,2018-08-03,653,646,0.0069748773062972,0.0058558854636605595,-0.0012872046216132272,-941.7204195637023,730659.4591842273
2018-08-02,2018-08-03,2018-08-31,663,658,-0.030006149370426227,-0.009885168089441732,-0.01946526844668925,-14222.482516133809,716436.9766680935
2018-08-30,2018-08-31,2018-10-08,670,663,-0.025353588205325295,0.008453881645656969,-0.03095360923776331,-22176.31021926878,694260.6664488247
2018-09-28,2018-10-08,2018-11-05,675,666,-0.055820852770062435,-0.027395018979283425,-0.026758086446902578,-18577.086929521873,675683.5795193028
2018-11-02,2018-11-05,2018-12-03,678,674,0.03427096981161304,-0.00268545054703051,0.029096619318120763,19660.107892778353,695343.6874120812
2018-11-30,2018-12-03,2019-01-02,690,687,-0.04956064100808122,-0.07471424759790102,0.018797981617680135,13071.057853942271,708414.7452660234
2018-12-28,2019-01-02,2019-01-30,692,685,0.01512630063565057,0.05455292717769211,-0.03533667681595936,-25033.022905125632,683381.7223608978
2019-01-29,2019-01-30,2019-03-06,693,689,0.18191088596289018,0.2015300189209408,-0.01799068239249202,-12294.50351982913,671087.2188410687
2019-03-05,2019-03-06,2019-04-03,694,685,0.07901914019303202,0.03270064820579344,0.037444682767613896,25128.64801890403,696215.8668599727
2019-04-02,2019-04-03,2019-05-07,695,683,-0.10335551486903272,-0.06221076175253992,-0.038162601638465146,-26569.40878135583,669646.4580786169
2019-05-06,2019-05-07,2019-06-04,687,679,-0.019974028673024558,-0.018828988701526383,-0.0034492176532021513,-2309.7563846090343,667336.7016940078
2019-06-03,2019-06-04,2019-07-03,690,687,0.025266917471848505,0.0811769110489573,-0.0495299590248621,-33053.1594906908,634283.542203317
2019-07-02,2019-07-03,2019-07-31,692,686,-0.03462265264976516,-0.017999001894363764,-0.01655920717243815,-10503.232581412653,623780.3096219044
2019-07-30,2019-07-31,2019-08-28,694,686,-0.020456595307920322,-0.009837298243339565,-0.011412625426209997,-7118.97102196014,616661.3385999443
2019-08-27,2019-08-28,2019-09-26,695,692,0.017409655615934216,0.017254066057227124,-0.0021109811614185223,-1301.760468759574,615359.5781311847
2019-09-25,2019-09-26,2019-10-31,703,702,-0.003644716369997525,0.005704430200530464,-0.010253120135351144,-6309.355681018089,609050.2224501666
2019-10-30,2019-10-31,2019-11-28,705,703,-0.021433170187800554,-0.007412602448001682,-0.014245323216816897,-8676.11727407691,600374.1051760897
