signal_date,entry,exit,n_sel,n_fill,lo_ret,idx_ret,capital_ret,net_yuan,equity
2013-01-21,2013-01-22,2013-02-26,463,457,0.016633747971274593,-0.008814774803764913,0.01924763048177943,14358.795765041723,760362.0910088032
2013-02-25,2013-02-26,2013-03-26,465,462,0.007568816591416949,0.0056350439440668865,-0.0006269840058363025,-476.7348697067937,759885.3561390964
2013-03-25,2013-03-26,2013-04-25,464,462,-0.045244421026255144,-0.04423588371842757,-0.00332588077621742,-2527.288098112098,757358.0680409843
2013-04-24,2013-04-25,2013-05-28,465,455,0.05177628275430135,0.045748453873559525,0.0036931966140167777,2797.072252487298,760155.1402934716
2013-05-27,2013-05-28,2013-06-28,465,459,-0.17020686572899768,-0.17365023090558818,-0.0012643377229201724,-961.0928191447165,759194.0474743269
2013-06-27,2013-06-28,2013-07-26,464,457,0.03151256767331567,0.036016249191495486,-0.005647873236281114,-4287.831741874223,754906.2157324527
2013-07-25,2013-07-26,2013-08-23,463,454,0.05688625893630306,0.03972278490677894,0.01297377159687245,9793.980819972232,764700.1965524249
2013-08-22,2013-08-23,2013-09-24,462,449,0.08417871527255905,0.0673255949578162,0.01368407489710366,10464.21476345323,775164.4113158782
2013-09-23,2013-09-24,2013-10-29,461,449,-0.005661236202669673,-0.04108114233907523,0.026941728846573667,20884.269381186226,796048.6806970644
2013-10-28,2013-10-29,2013-11-26,462,455,0.025371243693749435,0.007854905833987624,0.012708609891168891,10116.672137358575,806165.352834423
2013-11-25,2013-11-26,2013-12-24,459,449,-0.023882578229318163,-0.04050120820996472,0.01110974433059492,8956.290958174272,815121.6437925972
2013-12-23,2013-12-24,2014-01-22,460,454,-0.03963625892833078,-0.04394793812633124,0.0008913561358038224,726.5636786209652,815848.2074712182
2014-01-21,2014-01-22,2014-02-26,460,453,0.031986230380693925,-0.01948932401400638,0.04122084471512365,33629.95227128302,849478.1597425012
2014-02-25,2014-02-26,2014-03-26,457,436,0.050837015102089156,0.01559313510946403,0.02835626273442571,24088.02588481491,873566.1856273161
2014-03-25,2014-03-26,2014-04-24,455,443,-0.004020190292293391,0.005290592922341908,-0.010051005937966215,-8780.218918946688,864785.9667083694
2014-04-23,2014-04-24,2014-05-26,451,439,-0.018936171919382017,-0.01408264432658246,-0.006698897924804987,-5793.112917783088,858992.8537905863
2014-05-23,2014-05-26,2014-06-24,457,445,-0.018602153357679785,-0.01396925838039853,-0.006505457126390241,-5588.141182210296,853404.712608376
2014-06-23,2014-06-24,2014-07-22,454,445,0.051245503728361674,0.014425174392148854,0.029269731844909896,24978.927093229606,878383.6397016057
2014-07-21,2014-07-22,2014-08-19,450,440,0.10304463624743465,0.10009526275873548,0.0021325963680088045,1873.237759746029,880256.8774613517
2014-08-18,2014-08-19,2014-09-17,450,430,0.061472047433696275,0.006923397046521895,0.04441432261283919,39096.012937739026,919352.8903990907
2014-09-16,2014-09-17,2014-10-22,450,436,0.05627654289707862,0.016502738628014102,0.03199967143863096,29418.990428926656,948771.8808280174
2014-10-21,2014-10-22,2014-11-19,451,434,0.03911125605708632,0.042441342319365694,-0.0036999748809390595,-3510.4321268049534,945261.4487012124
