,net,gross,turnover,equity
2018-04-30,-0.010352243439726794,-0.008468198382248604,1.8840450574781897,1.1490589964456386
2018-05-31,-0.0035837324020713086,-0.002211467745672614,1.3722646563986944,1.1449410764881849
2018-06-29,0.011469625200006578,0.012110332220219868,0.6407070202132896,1.1580731215115965
2018-07-31,0.044184453270462276,0.04593322191124348,1.7487686407812069,1.209241949232804
2018-08-31,0.0038656763742443727,0.005636539125067447,1.770862750823075,1.2139164872666983
2018-09-30,-0.05439671127919909,-0.053337479372997945,1.0592319062011426,1.1478834225917922
2018-10-31,-0.02866318791361084,-0.027444200384592526,1.2189875290183125,1.1149814243471248
2018-11-30,-0.014594298926210914,-0.012264841086876902,2.329457839334012,1.0987090521430305
2018-12-31,-0.0369675747257386,-0.035229814751674346,1.7377599740642535,1.0580924431560876
2019-01-31,-0.02804871453595966,-0.02699263568916718,1.0560788467924827,1.0284143102653465
2019-02-28,0.009512593103035708,0.010809620453629109,1.297027350593401,1.03819719714024
2019-03-31,0.00508151007557195,0.006699802063872398,1.6182919883004487,1.0434728066579386
2019-04-30,-0.004236910377336546,-0.002731139904653724,1.5057704726828214,1.0390517058949411
2019-05-31,-0.004500904373001592,-0.0036171498407978554,0.8837545322037366,1.034375033528104
2019-06-30,-0.008629630241853549,-0.006864190582819021,1.765439659034527,1.0254487594573514
2019-07-31,0.04222763992311138,0.043344739124786764,1.117099201675381,1.0687510404313176
2019-08-30,-0.03494084548951963,-0.03377953815976756,1.1613073297520702,1.0314079754608436
2019-09-30,-0.021664240815108125,-0.020712224150108757,0.9520166649993664,1.0090633047018367
2019-10-31,0.009678017731894938,0.011527955264318199,1.8499375324232616,1.0188290372573456
2019-11-29,-0.018794359860635365,-0.018005491783534274,0.7888680771010903,0.9996807976946664
2019-12-31,0.021557395650325793,0.02319550158941738,1.6381059390915853,1.0212313121746037
2020-01-31,-0.03559701631084537,-0.03492435371858472,0.6726625922606524,0.9848785244979784
2020-02-28,0.04273615731052768,0.04466081909177523,1.924661781247551,1.0269684480526844
2020-03-31,0.014418086336617807,0.01624169577070526,1.8236094340874531,1.0417753678016906
2020-04-30,-0.09184917114307889,-0.09052738515042115,1.3217859926577433,0.9460891637518292
2020-05-31,-0.013291200953022681,-0.011815623174949738,1.4755777780729442,0.9335145025569264
2020-06-30,-0.010197655214981024,-0.009463127922490286,0.7345272924907391,0.9239948435216663
2020-07-31,-0.051103975381568266,-0.0501043429542034,0.999632427364867,0.876775033785639
2020-08-31,-0.024812026514405606,-0.02216174855419395,2.6502779602116573,0.8550204684001809
2020-09-30,-0.00880344258691175,-0.007446217412500844,1.357225174410906,0.8474933447959855
2020-10-30,-0.08994180686831672,-0.08827084197109963,1.6709648972170932,0.7712682620561612
2020-11-30,-0.010821848929912121,-0.010240452209362864,0.5813967205492571,0.7629217134397536
2020-12-31,-0.01626574661434955,-0.014816004260117544,1.4497423542320067,0.7505122221623571
2021-01-31,0.029774017394242226,0.03259716565414813,2.823148259905902,0.7728579861196105
2021-02-28,0.010432840580517695,0.011120237592791005,0.6873970122733097,0.7809210902801763
2021-03-31,0.07178915485764381,0.07268262894622282,0.8934740885790045,0.8369827553619
2021-04-30,0.031605906088761494,0.03217774973701928,0.5718436482577808,0.8634363537257811
2021-05-31,-0.004495117621708085,-0.003914084836828493,0.5810327848795923,0.859555105756925
