date,equity,cash,invested
2018-10-24,644829.6959805193,11665.871247399707,633163.8247331196
2018-10-25,645391.5061868146,11665.871247399707,633725.6349394149
2018-10-26,646205.8982565226,646205.8982565226,0.0
2018-10-26,648557.964142065,2880.5612106514836,645677.4029314135
2018-10-29,642131.2841294874,2880.5612106514836,639250.7229188358
2018-10-30,648676.9822814838,2880.5612106514836,645796.4210708323
2018-10-31,655767.9684308731,2880.5612106514836,652887.4072202216
2018-11-01,656913.703211983,2880.5612106514836,654033.1420013314
2018-11-02,670693.8961179273,2880.5612106514836,667813.3349072757
2018-11-05,673582.5901650565,2880.5612106514836,670702.028954405
2018-11-06,675367.9036351963,2880.5612106514836,672487.3424245447
2018-11-07,673024.6984080152,2880.5612106514836,670144.1371973637
2018-11-08,672312.2037472606,2880.5612106514836,669431.6425366091
2018-11-09,670091.322510985,2880.5612106514836,667210.7613003334
2018-11-12,686667.8818108432,2880.5612106514836,683787.3206001917
2018-11-13,699567.2626077959,2880.5612106514836,696686.7013971444
2018-11-14,699410.4859776102,2880.5612106514836,696529.9247669587
2018-11-15,709928.7923691589,2880.5612106514836,707048.2311585074
2018-11-16,719325.9067027266,2880.5612106514836,716445.3454920751
2018-11-19,724151.5293196498,2880.5612106514836,721270.9681089983
2018-11-20,706336.4019928157,2880.5612106514836,703455.8407821641
2018-11-21,710540.854731276,2880.5612106514836,707660.2935206245
2018-11-22,711379.859920711,2880.5612106514836,708499.2987100595
2018-11-23,708465.2519095405,708465.2519095405,0.0
2018-11-23,683837.8111665759,4137.023368815622,679700.7877977602
2018-11-26,683734.2890145719,4137.023368815622,679597.2656457563
2018-11-27,686870.3883969303,4137.023368815622,682733.3650281146
2018-11-28,694305.8346090477,4137.023368815622,690168.8112402321
2018-11-29,682598.1623068281,4137.023368815622,678461.1389380124
2018-11-30,684934.8574872259,4137.023368815622,680797.8341184102
2018-12-03,702125.7943729847,4137.023368815622,697988.771004169
2018-12-04,705648.2104196905,4137.023368815622,701511.1870508748
2018-12-05,701543.3072670787,4137.023368815622,697406.283898263
2018-12-06,692342.246642475,4137.023368815622,688205.2232736594
2018-12-07,692921.1604350449,4137.023368815622,688784.1370662292
2018-12-10,685807.3042566353,4137.023368815622,681670.2808878196
2018-12-11,689344.1515534883,4137.023368815622,685207.1281846727
2018-12-12,689871.7531797182,4137.023368815622,685734.7298109025
2018-12-13,695485.7897577524,4137.023368815622,691348.7663889368
2018-12-14,683333.9724471162,4137.023368815622,679196.9490783005
2018-12-17,682261.5140458588,4137.023368815622,678124.4906770431
2018-12-18,679284.7967625867,4137.023368815622,675147.773393771
2018-12-19,673234.4032341526,4137.023368815622,669097.3798653369
2018-12-20,673532.5950256854,4137.023368815622,669395.5716568697
2018-12-21,670216.7524950491,670216.7524950491,0.0
2018-12-21,667105.0111169487,3890.953570365894,663214.0575465828
2018-12-24,670901.9706977416,3890.953570365894,667011.0171273757
2018-12-25,664073.5098545833,3890.953570365894,660182.5562842174
2018-12-26,663879.8132739993,3890.953570365894,659988.8597036334
2018-12-27,659410.0577315319,3890.953570365894,655519.104161166
2018-12-28,661876.0020544889,3890.953570365894,657985.048484123
2019-01-02,658124.1673664554,3890.953570365894,654233.2137960895
2019-01-03,658241.1579446086,3890.953570365894,654350.2043742427
2019-01-04,670481.1479650339,3890.953570365894,666590.194394668
2019-01-07,680101.0743992951,3890.953570365894,676210.1208289292
2019-01-08,679779.5075512051,3890.953570365894,675888.5539808392
2019-01-09,681926.0105698577,3890.953570365894,678035.0569994918
2019-01-10,681471.5747652949,3890.953570365894,677580.621194929
2019-01-11,685651.7319205363,3890.953570365894,681760.7783501704
2019-01-14,684392.7485996987,3890.953570365894,680501.7950293327
2019-01-15,689182.5956611723,3890.953570365894,685291.6420908064
