signal_date,entry,exit,symbol,gross,net,hold_days
2020-01-15,2020-01-16,2020-02-21,sh.600012,-0.07263518574901295,-0.07615518574901295,20
2023-12-29,2024-01-02,2024-01-30,sh.601113,0.00583089811581905,0.0028108981158190497,20
2011-06-30,2011-07-01,2011-07-29,sz.002367,-0.02922267575475712,-0.032742675754757124,20
2015-09-10,2015-09-11,2015-10-16,sh.600585,-0.01657761286862569,-0.02009761286862569,20
2014-04-23,2014-04-24,2014-05-26,sz.000955,0.00531914387692578,0.0017991438769257807,20
2021-12-09,2021-12-10,2022-01-10,sh.600783,0.07673665593564816,0.07321665593564816,20
2013-03-25,2013-03-26,2013-04-25,sh.600119,-0.061511406170976723,-0.06503140617097672,20
2022-09-05,2022-09-06,2022-10-12,sh.601366,-0.05124222372266318,-0.054762223722663185,20
2023-11-03,2023-11-06,2023-12-04,sz.300230,0.007317124513698703,0.004297124513698703,20
2016-11-07,2016-11-08,2016-12-06,sz.002603,0.07228908602498318,0.06876908602498319,20
2012-08-22,2012-08-23,2012-09-20,sz.300069,0.002608672432277581,-0.0009113275677224185,20
2022-06-13,2022-06-14,2022-07-12,sh.600435,0.028473804966210325,0.024953804966210327,20
2024-01-29,2024-01-30,2024-03-06,sz.301109,-0.054545481401296225,-0.05756548140129623,20
2011-08-25,2011-08-26,2011-09-26,sh.601006,-0.04993431113981184,-0.05345431113981184,20
2015-05-18,2015-05-19,2015-06-16,sz.002360,0.6486485232568509,0.6451285232568509,20
2010-07-05,2010-07-06,2010-08-03,sh.600177,0.2385685405987008,0.2350485405987008,20
2018-03-28,2018-03-29,2018-05-02,sz.002100,-0.15897438687607235,-0.16249438687607234,20
2023-01-04,2023-01-05,2023-02-09,sh.601916,-0.016835000617720808,-0.020355000617720807,20
2011-07-28,2011-07-29,2011-08-26,sz.002363,0.020121947035485865,0.016601947035485867,20
2023-09-28,2023-10-09,2023-11-06,sz.000505,-0.0325203582972442,-0.0355403582972442,20
2010-12-30,2010-12-31,2011-01-31,sz.300081,-0.1229375365842551,-0.1264575365842551,20
2016-02-05,2016-02-15,2016-03-14,sz.002475,0.07772406842792479,0.07420406842792479,20
2016-09-01,2016-09-02,2016-10-11,sz.002658,-0.015882379868451313,-0.01940237986845131,20
2012-08-22,2012-08-23,2012-09-20,sz.300053,0.0461538348677597,0.0426338348677597,20
2021-04-14,2021-04-15,2021-05-18,sh.603955,-0.06546761671841894,-0.06898761671841894,20
2017-02-07,2017-02-08,2017-03-08,sh.600196,0.016028141072516044,0.012508141072516046,20
2022-01-07,2022-01-10,2022-02-14,sz.000702,0.013916439742432063,0.010396439742432064,20
2022-01-07,2022-01-10,2022-02-14,sz.000055,-0.12062254896185409,-0.12414254896185409,20
2012-04-27,2012-05-02,2012-05-30,sz.002011,0.05365855519364526,0.05013855519364526,20
2022-09-05,2022-09-06,2022-10-12,sz.003013,0.06963611580286844,0.06611611580286844,20
2016-04-11,2016-04-12,2016-05-11,sh.600155,-0.15928568158830914,-0.16280568158830913,20
2017-01-03,2017-01-04,2017-02-08,sh.600728,0.009324000514850717,0.005804000514850717,20
2021-11-11,2021-11-12,2021-12-10,sh.601929,-0.01036268469951196,-0.013882684699511958,20
2021-08-10,2021-08-11,2021-09-08,sh.688309,-0.022423276676375226,-0.025943276676375224,20
2018-08-22,2018-08-23,2018-09-20,sz.002406,0.010362684486156404,0.006842684486156404,20
2015-12-10,2015-12-11,2016-01-11,sz.000869,-0.09011899202648022,-0.09363899202648021,20
2020-02-20,2020-02-21,2020-03-20,sz.000960,-0.19902438652224652,-0.20254438652224652,20
2020-02-20,2020-02-21,2020-03-20,sz.000780,-0.07954546583421263,-0.08306546583421262,20
2017-01-03,2017-01-04,2017-02-08,sz.000421,-0.03646407919901473,-0.039984079199014734,20
2023-01-04,2023-01-05,2023-02-09,sh.600596,0.03486126039421911,0.031341260394219105,20
2022-02-11,2022-02-14,2022-03-14,sz.002561,-0.008253087061479536,-0.011773087061479535,20
2013-03-25,2013-03-26,2013-04-25,sh.600674,-0.031216357701166486,-0.03473635770116649,20
2020-06-17,2020-06-18,2020-07-20,sh.600039,0.06930698328024776,0.06578698328024776,20
2012-11-21,2012-11-22,2012-12-20,sh.600122,0.020942451183951105,0.017422451183951106,20
2014-04-23,2014-04-24,2014-05-26,sh.600444,-0.042727297002619014,-0.046247297002619016,20
2017-12-26,2017-12-27,2018-01-25,sz.000875,-0.07272726709755406,-0.07624726709755406,20
2019-06-24,2019-06-25,2019-07-23,sz.000543,-0.09278346765230061,-0.0963034676523006,20
2016-11-07,2016-11-08,2016-12-06,sz.000723,-0.14263566793129956,-0.14615566793129955,20
2021-12-09,2021-12-10,2022-01-10,sz.002315,0.0569620608443,0.0534420608443,20
2024-01-29,2024-01-30,2024-03-06,sh.600578,0.006578941176802688,0.0035589411768026883,20
2023-04-06,2023-04-07,2023-05-10,sh.600582,0.14845366622401102,0.14493366622401102,20
2019-07-22,2019-07-23,2019-08-20,sh.600083,0.1664012045452905,0.1628812045452905,20
2016-12-05,2016-12-06,2017-01-04,sh.601928,-0.05144401613258898,-0.05496401613258898,20
2012-12-19,2012-12-20,2013-01-22,sz.000411,0.03924049861231338,0.03572049861231338,20
2021-07-13,2021-07-14,2021-08-11,sz.002598,0.37466303293620906,0.37114303293620904,20
2021-06-15,2021-06-16,2021-07-14,sh.600820,-0.015267161679471508,-0.018787161679471507,20
2017-06-06,2017-06-07,2017-07-05,sz.002187,0.019559882816981178,0.01603988281698118,20
2019-06-24,2019-06-25,2019-07-23,sh.600508,-0.04883006571330284,-0.05235006571330284,20
2023-05-09,2023-05-10,2023-06-07,sz.003041,0.036144569503793855,0.03262456950379385,20
2020-05-20,2020-05-21,2020-06-18,sz.000552,-0.031111081441243527,-0.03463108144124353,20
2019-03-25,2019-03-26,2019-04-24,sz.002324,0.08461536643224488,0.08109536643224488,20
2014-07-21,2014-07-22,2014-08-19,sz.000650,0.059880179679085765,0.05636017967908576,20
2021-09-07,2021-09-08,2021-10-15,sh.603577,-0.029933530383723816,-0.03345353038372382,20
2013-02-25,2013-02-26,2013-03-26,sh.600590,0.015384600712702756,0.011864600712702757,20
2013-08-22,2013-08-23,2013-09-24,sh.600112,0.18626431069737803,0.18274431069737804,20
2019-05-24,2019-05-27,2019-06-25,sh.600033,0.05538463592529297,0.051864635925292966,20
2019-04-23,2019-04-24,2019-05-27,sh.603668,0.08975706481812962,0.08623706481812962,20
2020-06-17,2020-06-18,2020-07-20,sz.002014,0.1457399304502005,0.1422199304502005,20
2011-04-01,2011-04-06,2011-05-05,sh.601668,0.05376345326492782,0.050243453264927816,20
2022-04-12,2022-04-13,2022-05-16,sz.000828,-0.10247025199338,-0.10599025199338,20
2020-04-17,2020-04-20,2020-05-21,sz.002287,-0.07798617501759308,-0.08150617501759308,20
2010-12-30,2010-12-31,2011-01-31,sh.600861,0.03760161380300109,0.034081613803001086,20
2015-11-12,2015-11-13,2015-12-11,sh.600211,-0.09699079554185519,-0.10051079554185519,20
2012-01-31,2012-02-01,2012-02-29,sz.002523,0.15417106620684873,0.15065106620684873,20
2014-10-21,2014-10-22,2014-11-19,sh.600428,0.2548544223059799,0.25133442230597985,20
2017-08-01,2017-08-02,2017-08-30,sz.002337,0.09824569093957503,0.09472569093957503,20
2023-11-03,2023-11-06,2023-12-04,sh.601952,-0.0009388991141484615,-0.003958899114148462,20
2023-08-03,2023-08-04,2023-09-01,sz.300126,0.07919250737783323,0.07617250737783324,20
2019-12-17,2019-12-18,2020-01-16,sz.002221,-0.007462679485599422,-0.01098267948559942,20
2017-08-29,2017-08-30,2017-09-27,sh.600900,-0.012337635395437307,-0.015857635395437306,20
2021-06-15,2021-06-16,2021-07-14,sz.002942,-0.2036793532225044,-0.2071993532225044,20
2016-06-07,2016-06-08,2016-07-08,sh.600317,0.057971027512881745,0.05445102751288174,20
2017-08-01,2017-08-02,2017-08-30,sh.600380,0.0,-0.0035199999999999997,20
2022-10-11,2022-10-12,2022-11-09,sh.601106,0.04593643743660425,0.04241643743660425,20
2016-04-11,2016-04-12,2016-05-11,sz.000825,-0.09090907243657698,-0.09442907243657697,20
2016-02-05,2016-02-15,2016-03-14,sz.002002,0.06960230832534653,0.06608230832534653,20
2018-02-28,2018-03-01,2018-03-29,sh.600098,-0.0032051252660429963,-0.006725125266042996,20
2019-07-22,2019-07-23,2019-08-20,sh.600790,0.019773992654552597,0.016253992654552598,20
