strategy_id,information_set,target,start,end,trades,gross_return,net_return,CAGR,max_dd,Sharpe,Sortino,Calmar,turnover,data_cost,live_external_dependency,status,family,dataset_id,timeframe,economic_status,replay_kind,validation_net_return,validation_trades,level1_dataset_status
HYP-FUTOI-0001,IS-C,next-session front open-to-open after OI knowledge_time,,,282,0.12591843050036888,0.12591843050036888,0.010493716152763843,-0.30011549438995805,0.16728290924068384,0.08112513826403228,0.03496559274320148,135.96869132931553,0.0,YES,POSITIVE_BUT_WEAK,FUTURES_OI_FLOW_V1,next-session front open-to-open after OI knowledge_time,D1,POSITIVE_BUT_WEAK,STRATEGY_REPLAY,-0.023011005434907195,68,WEAK_EDGE
HYP-FUTOI-0002,IS-C,next-session front open-to-open after knowledge_time,,,398,-0.2931737945994386,-0.2931737945994386,-0.030078547397157762,-0.3635255406358795,-0.24580661626396716,-0.13846936870385704,-0.08274122182596666,155.96132935565464,0.0,YES,LOSS,FUTURES_OI_FLOW_V1,next-session front open-to-open after knowledge_time,D1,LOSS,STRATEGY_REPLAY,-0.1354401331174664,111,NO_EDGE
HYP-FUTOI-0003,IS-C,next-session front open-to-open after knowledge_time,,,263,0.03318920617905996,0.03318920617905996,0.002878001653108253,-0.22025347636670264,0.07713485447425336,0.027615544158238255,0.013066770616217806,132.4370604004909,0.0,YES,POSITIVE_BUT_WEAK,FUTURES_OI_FLOW_V1,next-session front open-to-open after knowledge_time,D1,POSITIVE_BUT_WEAK,STRATEGY_REPLAY,-0.24740685530599837,70,WEAK_EDGE
HYP-FUTVOL-0001,IS-C,next-session front open-to-open after volume knowledge_time,,,343,0.19920718082811106,0.19920718082811106,0.016118210164467017,-0.34701650494956177,0.21544190666955226,0.11014218374600084,0.046447964101332215,184.5359152837502,0.0,YES,POSITIVE_BUT_WEAK,VOLUME_PRICE_FLOW_V1,next-session front open-to-open after volume knowledge_time,D1,POSITIVE_BUT_WEAK,STRATEGY_REPLAY,-0.026595893625201428,88,WEAK_EDGE
HYP-FUTVOL-0002,IS-C,next-session front open-to-open after knowledge_time,,,381,-0.43378001329334714,-0.43378001329334714,-0.04883061004084921,-0.5020196710384112,-0.3731007060594343,-0.1523940950589456,-0.0972683200637232,153.55064038342115,0.0,YES,LOSS,VOLUME_PRICE_FLOW_V1,next-session front open-to-open after knowledge_time,D1,LOSS,STRATEGY_REPLAY,-0.10464256106583658,105,NO_EDGE
HYP-FUTVOL-0003,IS-C,next-session front open-to-open after knowledge_time,,,348,-0.5884002761822993,-0.5884002761822993,-0.07516072252896211,-0.64318416547276,-0.3527510691192006,-0.10344987254424283,-0.11685723399878273,158.48106810459882,0.0,YES,LOSS,VOLUME_PRICE_FLOW_V1,next-session front open-to-open after knowledge_time,D1,LOSS,STRATEGY_REPLAY,-0.3351420236985251,91,NO_EDGE
HYP-IA-0001,IS-B,GER40,2018,2024,111,-0.02177133576768797,-0.02177133576768797,-0.0040085847282120834,-0.06613907837687409,-0.19131874654542902,-0.13210354561464874,-0.06060841527561576,24.736334139353854,0.0,NO,POSITIVE_BUT_WEAK,IDX_ASYNC_V1,GER40,D1,POSITIVE_BUT_WEAK,STRATEGY_REPLAY,0.01242923394639317,34,WEAK_EDGE
HYP-IA-0002,IS-B,GER40,2018,2024,105,-0.09628511109181759,-0.09628511109181759,-0.018304563652869477,-0.11378901426324872,-0.8060199002810718,-0.6701892753515997,-0.1608640673388928,23.389061180172593,0.0,NO,LOSS,IDX_ASYNC_V1,GER40,D1,LOSS,STRATEGY_REPLAY,-0.06848067509557298,30,NO_EDGE
HYP-IA-0003,IS-B,GER40,2018,2024,111,-0.03421989877108411,-0.03421989877108411,-0.006333526132993317,-0.08908536151295988,-0.3017045206883187,-0.22280411770798486,-0.07109502644912019,23.38711495351403,0.0,NO,LOSS,IDX_ASYNC_V1,GER40,D1,LOSS,STRATEGY_REPLAY,-0.0019811297758391966,34,NO_EDGE
HYP-INV-0001,IS-B,OIL,2018,2024,3,-0.006175320767083714,-0.006175320767083714,-0.0009309540212890655,-0.01017695475953642,-0.2887935176216901,-2.0039967574772035,-0.09147667875959706,0.35964494534869734,0.0,YES,LOSS,INVENTORY_V1,OIL,D1,LOSS,STRATEGY_REPLAY,-0.010268139264630771,2,NO_EDGE
